POSITION,DEPARTMENT,MONTH_TOTAL,VACATION_13TH_SALARY,EVENTUAL PAYMENTS,PAYED_PREMIUM_LEAVE,OTHER_INDEMNITIES,WAGE_REDUCER,NET_TOTAL,STATUS,MONTH,YEAR
PROCURADOR DO ESTADO NIVEL V,PROCURADORIA GERAL DO ESTADO,57227.87,0.0,0.0,"0,00",6426.33,-15576.95,30881.06,ATIVOS,AUGUST,2023
OUTROS VINCULOS,CASA CIVIL,4326.3,0.0,576.84,"0,00",0.0,0.0,4084.02,ATIVOS,APRIL,2023
ASSESSOR TECNICO II,SECR.CULTURA ECONOMIA CRIATIVA,3747.94,0.0,0.0,"0,00",162.32,0.0,3345.56,ATIVOS,JUNE,2023
AG.SEG.PENIT.CLASSE IV,SECRET.ADMINISTR.PENITENCIARIA,5697.06,949.5,0.0,"0,00",59.31,0.0,3810.05,ATIVOS,JANUARY,2023
AUXILIAR SERV.GERAIS,SECRETARIA JUSTICA E CIDADANIA,2872.54,0.0,0.0,"0,00",224.74,0.0,1212.18,ATIVOS,FEBRUARY,2023
TEC. EM DESENV. AGRARIO R1,FITESP-JOSE GOMES DA SILVA,2317.57,0.0,0.0,"0,00",0.0,0.0,2102.2,ATIVOS,MAY,2023
AGENTE TECNICO ASSIST. A SAUDE,INST MED SOC CRIMINO SP- IMESC,3965.06,1982.52,0.0,"0,00",0.0,0.0,4359.08,ATIVOS,MAY,2023
OFICIAL ADMINISTRATIVO,SECRETARIA DE GOVERNO,0.0,0.0,0.0,"0,00",0.0,0.0,0.0,ATIVOS,FEBRUARY,2023
PROF.ADJUNTO IV-D,FAC.MED.S.J.R.PRETO-FAMERP,26779.93,0.0,0.0,"0,00",0.0,0.0,15746.82,ATIVOS,FEBRUARY,2023
GUARDA PARQUE,FUND.CONS.PR.FLOR.EST.SP F.FL.,5420.99,0.0,0.0,"0,00",785.94,0.0,4389.12,ATIVOS,FEBRUARY,2023
ASSESSOR TECNICO II,SECRETARIA DE COMUNICACAO,4874.49,0.0,0.0,"0,00",14.25,0.0,3835.75,ATIVOS,FEBRUARY,2023
ASSESSOR TECNICO V,HOSP.CLIN.FAC.MED.MARILIA,8598.14,0.0,0.0,"0,00",0.0,0.0,6348.29,ATIVOS,MAY,2023
TECNICO AP GEST OPERACAO  30H,CIA.PROC.DADOS EST.S.P-PRODESP,5453.14,0.0,0.0,"0,00",137.71,0.0,3398.98,ATIVOS,JANUARY,2023
ASSISTENTE DE GESTAO,AG.REG.SERV.PUB.DEL.TR.EST.SP,3161.62,0.0,0.0,"0,00",0.0,0.0,2840.06,ATIVOS,MAY,2023
DIRETOR TECNICO DE SAUDE II,HOSP.CLIN.FAC.MED.MARILIA,6797.31,0.0,0.0,"0,00",0.0,0.0,5023.19,ATIVOS,MARCH,2023
ASSESSOR TECNICO IV,SECRETARIA ORCAMENTO E GESTAO,15083.05,0.0,0.0,"0,00",2175.67,0.0,11266.45,ATIVOS,JANUARY,2023
CHEFE I,DEPTO.AGUAS ENER.ELETRICA DAEE,3106.25,0.0,0.0,"0,00",0.0,0.0,2651.45,ATIVOS,FEBRUARY,2023
EXECUTIVO PUBLICO,SECR.CULTURA ECONOMIA CRIATIVA,7440.62,-106.06,0.0,"0,00",0.0,0.0,3387.85,ATIVOS,MARCH,2023
PROF ENSINO FUNDAMENTAL/MEDIO,SECRETARIA DA EDUCACAO,3650.0,0.0,25.0,"0,00",111.75,0.0,3010.32,ATIVOS,APRIL,2023
CABO  PM,POLICIA MILITAR SAO PAULO,5902.43,0.0,0.0,"0,00",890.76,0.0,4355.55,ATIVOS,AUGUST,2023
DIRETOR ECONOMICO FINANCEIRO,CIA.PAULISTA PARCERIAS CPP,4387.86,0.0,0.0,"0,00",0.0,0.0,3662.66,ATIVOS,MARCH,2023
PROF.ADJUNTO IV-D,FAC.MED.S.J.R.PRETO-FAMERP,23954.52,0.0,0.0,"0,00",0.0,0.0,13273.51,ATIVOS,FEBRUARY,2023
PESQUISADOR CIENTIFICO VI,SECR.AGRICULTURA ABASTECIMENTO,16392.96,2732.16,0.0,"0,00",0.0,0.0,13096.57,ATIVOS,JUNE,2023
PROCURADOR DO ESTADO NIVEL V,PROCURADORIA GERAL DO ESTADO,51210.48,0.0,0.0,"0,00",0.0,-11917.16,25173.86,ATIVOS,FEBRUARY,2023
TECNICO DE RECURSOS AMBIENTAIS,FUND.CONS.PR.FLOR.EST.SP F.FL.,5993.16,0.0,0.0,"0,00",2061.76,0.0,5775.07,ATIVOS,JUNE,2023
DELEGADO POLICIA 2A CLASSE,SECRETARIA SEGURANCA PUBLICA,24537.86,0.0,0.0,"0,00",650.94,0.0,12592.9,ATIVOS,JULY,2023
AUXILIAR DE ENFERMAGEM,FAC.MEDICINA MARILIA-FAMEMA,2819.84,0.0,249.81,"0,00",0.0,0.0,2508.0,ATIVOS,FEBRUARY,2023
AUXILIAR ADMINISTRATIVO,CIA.PROCES.DAD.EST.SP PRODESP,3236.23,479.44,0.0,"0,00",232.58,0.0,2736.43,ATIVOS,MAY,2023
AGENTE ADMINISTRATIVO I,FUNDACAO CASA-SP.,2939.21,0.0,0.0,"0,00",0.0,0.0,1124.23,ATIVOS,FEBRUARY,2023
AUXILIAR SERV.GERAIS,INST MED SOC CRIMINO SP- IMESC,1905.33,960.85,94.98,"0,00",0.0,0.0,1910.29,ATIVOS,JANUARY,2023
ASSESSOR I,SECRETARIA DE GOVERNO,4273.87,0.0,0.0,"0,00",113.16,0.0,2369.88,ATIVOS,FEBRUARY,2023
COL.DADOS/APLIC.MUNIC.SP,FUND.SIST.EST.ANAL.DADOS SEADE,1743.75,12636.17,1538.89,"0,00",0.0,0.0,1042.93,ATIVOS,JANUARY,2023
DIRETOR TECNICO II,SEC.MEIO AMB. INFRA.LOGIST.,9329.93,0.0,0.0,"0,00",0.0,0.0,6271.03,ATIVOS,APRIL,2023
AN ED AMB II,CETESB-CIA.AMBIENTAL EST.S.P.,11257.03,9606.0,11855.35,"0,00",0.0,0.0,25225.09,ATIVOS,JUNE,2023
ASSESSOR TECNICO V I,FUND.PRO-SANGUE-HEMOCENTRO S.P,5062.27,10651.85,0.0,"0,00",0.0,0.0,4488.25,ATIVOS,JULY,2023
AUX.APOIO PESQ.CIENT.TECNOL.,SEC.MEIO AMB. INFRA.LOGIST.,2748.71,0.0,0.0,"0,00",205.07,0.0,1655.76,ATIVOS,FEBRUARY,2023
AUXILIAR DE ENFERMAGEM,FUND.PRO-SANGUE-HEMOCENTRO S.P,3543.73,0.0,0.0,"0,00",0.0,0.0,2499.86,ATIVOS,MARCH,2023
ESPEC.REGULACAO DE TRANSP. I,AG.REG.SERV.PUB.DEL.TR.EST.SP,9870.8,0.0,0.0,"0,00",0.0,0.0,5733.74,ATIVOS,JUNE,2023
DIRETOR TECNICO I,DEPTO.AGUAS ENER.ELETRICA DAEE,5051.16,0.0,24.18,"0,00",0.0,0.0,3120.49,ATIVOS,AUGUST,2023
GERENTE,DESENVOLVE SP AG.FOM.E.S.PAULO,19415.43,0.0,0.0,"0,00",0.0,0.0,13114.45,ATIVOS,MAY,2023
ESPEC.REGUL.FIS.SERV.PUB. III,AG.REG.SERV.PUB.EST.SP ARSESP,16154.6,5923.35,0.0,"0,00",1974.45,0.0,18163.29,ATIVOS,MARCH,2023
ASSISTENTE SOCIAL I,FUNDACAO CASA-SP.,6455.27,0.0,1527.97,"0,00",0.0,0.0,5178.58,ATIVOS,JULY,2023
DIRETOR TECNICO DE SAUDE I,SECRETARIA DA SAUDE,4799.56,0.0,0.0,"0,00",151.02,0.0,4069.75,ATIVOS,JULY,2023
AGENTE TECNICO ASSIST. A SAUDE,HC FAC MEDICINA RIB PRETO USP,5892.99,0.0,0.0,"0,00",0.0,0.0,3881.75,ATIVOS,MARCH,2023
AGENTE DE APOIO TECNICO E ADM.,FUNDACAO ONCOCENTRO SAO PAULO,1612.32,501.6,0.0,"0,00",0.0,0.0,835.95,ATIVOS,JANUARY,2023
SUPERVISOR ADMINISTRATIVO I,INST.PESQ.TECNOLOGICAS EST.S.P,11673.83,0.0,0.0,"0,00",0.0,0.0,5553.92,ATIVOS,FEBRUARY,2023
CHEFE DE UNIDADE,FUND.CONS.PR.FLOR.EST.SP F.FL.,5993.16,0.0,0.0,"0,00",299.66,0.0,4863.35,ATIVOS,MARCH,2023
OUTROS VINCULOS,INST MED SOC CRIMINO SP- IMESC,1266.01,0.0,0.0,"0,00",0.0,0.0,1266.01,ATIVOS,APRIL,2023
NAO SERVIDOR,DEPTO. EST. TRANSITO DETRAN SP,0.0,0.0,1152.0,"0,00",0.0,0.0,1002.24,ATIVOS,FEBRUARY,2023
AGENTE DE GESTAO OPERACIONAL,EMP.METR.TR.URB.SP.S/A-EMTU-SP,3019.89,0.0,0.0,"0,00",0.0,0.0,1793.0,ATIVOS,AUGUST,2023
